time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/value_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/clip_range_vf,train/learning_rate,train/explained_variance,train/std,train/n_updates,train/clip_fraction,train/entropy_loss,train/approx_kl
11010048,4237,2598,993.79,46.87437438964844,84,0.798997620283626,-0.00241984104122821,0.1,0.9450557827949524,0.2,5e-06,0.3806658387184143,0.21721582114696503,2560,0.06961517333984375,2.6465150261297823,0.0021417318
11141120,4287,2598,975.51,46.226375579833984,85,0.886035643494688,-0.0021470154136295607,0.1,1.1339305639266968,0.2,5e-06,0.2281588315963745,0.21822412312030792,2570,0.06909713745117188,2.533825341798365,0.0021011296
11272192,4338,2598,988.78,46.9425163269043,86,0.8369092895882204,-0.0021930726660229992,0.1,1.1325490474700928,0.2,5e-06,0.3041294813156128,0.21925018727779388,2580,0.064996337890625,2.4218040538951753,0.002065848
11403264,4388,2598,958.48,45.41275405883789,87,0.8526417257031426,-0.00227058423733979,0.1,0.7721207737922668,0.2,5e-06,0.3080901503562927,0.2202855795621872,2590,0.07163772583007813,2.309047041833401,0.0021845687
11534336,4439,2598,978.29,46.25436019897461,88,0.8569507508305833,-0.0021290787115958664,0.1,0.7733888626098633,0.2,5e-06,0.2965165972709656,0.2212914079427719,2600,0.06840591430664063,2.1979061225429177,0.0021321282
11665408,4490,2597,976.04,46.22172546386719,89,0.8406300850678236,-0.002257273762324985,0.1,0.8134807348251343,0.2,5e-06,0.23544937372207642,0.22232282161712646,2610,0.07275924682617188,2.087425775453448,0.0021808082
11796480,4540,2597,976.7,46.1761589050293,90,0.8997252180241049,-0.002214116002414812,0.1,1.1378107070922852,0.2,5e-06,0.3136102557182312,0.22334764897823334,2620,0.06589431762695312,1.9765774784609675,0.0020573922
11927552,4591,2597,973.61,46.46571731567383,91,0.8099043742055073,-0.002206897163796384,0.1,0.9035382270812988,0.2,5e-06,0.306060254573822,0.22437827289104462,2630,0.06959762573242187,1.8661101058125495,0.0021193065
12058624,4642,2597,975.27,46.203208923339844,92,0.8832367324503139,-0.0023191478442186053,0.1,1.0009783506393433,0.2,5e-06,0.21896296739578247,0.2254422903060913,2640,0.07251815795898438,1.7539813918992877,0.0021250097
12189696,4692,2597,985.55,46.8060417175293,93,0.8507624403573573,-0.0021227113968507183,0.1,0.9673565626144409,0.2,5e-06,0.19900494813919067,0.22649376094341278,2650,0.06397476196289062,1.6415558582171799,0.0020581635
12320768,4743,2597,990.21,47.006629943847656,94,0.8806057571200654,-0.0020891495555588335,0.1,1.176436185836792,0.2,5e-06,0.16557854413986206,0.2275441437959671,2660,0.06519699096679688,1.5300931307487189,0.002112653
12451840,4794,2597,965.16,45.6777229309082,95,0.84994881846942,-0.0019316253250735826,0.1,0.9630919694900513,0.2,5e-06,0.11023342609405518,0.22860069572925568,2670,0.0625640869140625,1.4189009310677647,0.0020367184
12582912,4844,2597,978.57,46.399017333984375,96,0.9105826006736606,-0.0021069214749331877,0.1,1.168993353843689,0.2,5e-06,0.30545324087142944,0.22967420518398285,2680,0.06077423095703125,1.307207512203604,0.0020281174
