time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,train/std,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/loss,train/learning_rate,train/clip_range,train/approx_kl,train/value_loss,train/clip_range_vf,train/explained_variance,train/clip_fraction
1528,37.8223876953125,818.92,7716,11796480,90,0.05951341614127159,890,-0.0024514567838195946,35.0879036039114,0.8380148410797119,1e-05,0.1,0.0022099104,0.6171344223897904,0.2,0.8485788702964783,0.10983505249023437
1545,38.05930709838867,829.66,7717,11927552,91,0.059635572135448456,900,-0.0022309226086235866,35.03761847615242,0.9100463390350342,1e-05,0.1,0.0021956367,0.6502900194842368,0.2,0.8432466983795166,0.10511093139648438
1562,37.321346282958984,813.69,7717,12058624,92,0.05975563824176788,910,-0.0024090937091386876,34.9867630571127,0.9391986131668091,1e-05,0.1,0.0021263938,0.6107085090596229,0.2,0.8641645312309265,0.10767440795898438
1579,38.18735122680664,819.94,7717,12189696,93,0.05986466258764267,920,-0.0023963845960224715,34.93935289680958,0.8790268898010254,1e-05,0.1,0.002128343,0.6015922536607832,0.2,0.8656324148178101,0.10520477294921875
1596,36.61868667602539,792.05,7718,12320768,94,0.059979286044836044,930,-0.0022301915528714746,34.89221355021,1.0225143432617188,1e-05,0.1,0.0021802764,0.6568824358051643,0.2,0.8498393893241882,0.1028656005859375
1613,34.6711311340332,753.24,7718,12451840,95,0.06009778007864952,940,-0.0024851605578078305,34.843383795022966,0.9386789202690125,1e-05,0.1,0.0021228667,0.6589570255950093,0.2,0.8629387021064758,0.105145263671875
1630,34.787200927734375,756.23,7719,12582912,96,0.060212839394807816,950,-0.002544238156588108,34.795071113109586,1.0688865184783936,1e-05,0.1,0.002135358,0.6550476831151173,0.2,0.882378876209259,0.10625991821289063
1647,34.2772331237793,748.51,7718,12713984,97,0.06032910197973251,960,-0.002697237817119458,34.74666928946972,0.9563772082328796,1e-05,0.1,0.0022234512,0.6241658254293725,0.2,0.8871630430221558,0.10655899047851562
1664,33.3353157043457,733.63,7719,12845056,98,0.06044357270002365,970,-0.0023696086289874073,34.69939672648907,0.9587348699569702,1e-05,0.1,0.0020919251,0.616649546357803,0.2,0.8886339068412781,0.09937667846679688
1680,34.57362365722656,747.32,7719,12976128,99,0.06055757403373718,980,-0.002650790546886128,34.65161059498787,0.9399163126945496,1e-05,0.1,0.0022174795,0.6065347450552508,0.2,0.8942524194717407,0.10510940551757812
1698,32.91474533081055,719.99,7719,13107200,100,0.06067642197012901,990,-0.002264433303662372,34.604237580299376,0.9984886646270752,1e-05,0.1,0.0021330495,0.6001171012176201,0.2,0.8872144818305969,0.09917526245117188
1715,31.658437728881836,693.71,7717,13238272,101,0.060792483389377594,1000,-0.002403310420231719,34.55584793388844,0.9381193518638611,1e-05,0.1,0.002084517,0.6499331193277612,0.2,0.9025930166244507,0.0977447509765625
1732,32.842567443847656,721.1,7718,13369344,102,0.06090593710541725,1010,-0.0025719348623624684,34.50839128792286,0.9674491882324219,1e-05,0.1,0.0021669106,0.6014290600083768,0.2,0.9106666445732117,0.10295562744140625
1749,34.72605895996094,763.18,7718,13500416,103,0.061033789068460464,1020,-0.0027059181466484008,34.45839572250843,0.8782618045806885,1e-05,0.1,0.0021729306,0.5969149699434638,0.2,0.9048256874084473,0.10331268310546875
1765,32.13612365722656,705.22,7719,13631488,104,0.06114397570490837,1030,-0.0025017892067808133,34.41010121703148,1.0589929819107056,1e-05,0.1,0.0021503381,0.66692070516292,0.2,0.8903124928474426,0.10410003662109375
1782,34.511661529541016,752.41,7718,13762560,105,0.06125931441783905,1040,-0.002657058727936601,34.36399230062962,0.8041330575942993,1e-05,0.1,0.0022026019,0.5897971272235736,0.2,0.894832968711853,0.1054473876953125
1799,35.063499450683594,768.3,7718,13893632,106,0.06138196960091591,1050,-0.0025969965937292726,34.31511114239693,0.882366418838501,1e-05,0.1,0.0020707261,0.5544123519677668,0.2,0.8976130485534668,0.09896316528320312
1816,35.480743408203125,782.6,7718,14024704,107,0.06151651218533516,1060,-0.002562729654800933,34.26252110004425,0.9031784534454346,1e-05,0.1,0.00218288,0.6038697907235473,0.2,0.8882530927658081,0.10373687744140625
1833,36.28627395629883,790.63,7718,14155776,108,0.06162143126130104,1070,-0.002490940158622834,34.21499105989933,0.9887168407440186,1e-05,0.1,0.0021726494,0.582419475610368,0.2,0.8837003707885742,0.10414505004882812
1850,33.064701080322266,731.61,7719,14286848,109,0.06172756105661392,1080,-0.0024235237926404805,34.171838510036466,0.9342215657234192,1e-05,0.1,0.002141905,0.6385341671761126,0.2,0.8791050314903259,0.103448486328125
1867,34.270355224609375,754.93,7719,14417920,110,0.06184714660048485,1090,-0.002636490715030959,34.12562634348869,0.8391765356063843,1e-05,0.1,0.002128981,0.5593814105261117,0.2,0.9025511145591736,0.09910049438476562
1885,33.21397018432617,732.5,7718,14548992,111,0.06195538118481636,1100,-0.0026044155245472213,34.08007099032402,0.8774920701980591,1e-05,0.1,0.002141725,0.5725001934682951,0.2,0.895313560962677,0.10163497924804688
1902,32.54835510253906,714.79,7718,14680064,112,0.06209269538521767,1110,-0.002546094813533273,34.029751846194266,0.8746991157531738,1e-05,0.1,0.0021311538,0.5812769210664556,0.2,0.9072139263153076,0.099066162109375
1919,34.965049743652344,779.05,7717,14811136,113,0.062226735055446625,1120,-0.0026875339221987815,33.975143250823024,0.8322232961654663,1e-05,0.1,0.0020950334,0.531421665288508,0.2,0.9052426218986511,0.10068588256835938
1936,33.678733825683594,737.04,7717,14942208,114,0.06233209744095802,1130,-0.002605088022664859,33.92799299955368,1.0067925453186035,1e-05,0.1,0.0021081793,0.6126762822270393,0.2,0.8974636197090149,0.1021820068359375
1953,35.65056228637695,788.16,7717,15073280,115,0.06245509535074234,1140,-0.0024619804635676703,33.881619131565095,0.8907819986343384,1e-05,0.1,0.0021632083,0.6241024432703852,0.2,0.8799135088920593,0.10305862426757813
