time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/clip_range_vf,train/entropy_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/std,train/value_loss,train/loss,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,train/adaptive_lr
4040,525.4,2205,68,20.495521545410156,8912896,0.2,37.13656570315361,0.0017200279,0.06728286743164062,-0.0026031810018139366,0.054808977991342545,0.503910124138929,0.8825033903121948,4.444444444444445e-06,0.1,0.9018411636352539,670,4.444444444444445e-06
4099,516.56,2206,69,20.094402313232422,9043968,0.2,37.10871642231941,0.0016877771,0.06534271240234375,-0.0025334807325634754,0.054874639958143234,0.4964457060676068,0.8901616930961609,4.444444444444445e-06,0.1,0.9027206897735596,680,4.444444444444445e-06
4158,501.84,2206,70,19.58246612548828,9175040,0.2,37.07933292686939,0.0016925894,0.06502609252929688,-0.002503203839296475,0.05493812635540962,0.4785934633342549,0.9048082232475281,4.444444444444445e-06,0.1,0.9086693525314331,690,4.444444444444445e-06
4217,513.31,2206,71,20.149072647094727,9306112,0.2,37.054076698422435,0.0017171267,0.070025634765625,-0.002699105268675339,0.0549866147339344,0.47752605692949146,0.8086387515068054,4.444444444444445e-06,0.1,0.9097514748573303,700,4.444444444444445e-06
4276,466.33,2206,72,18.14716339111328,9437184,0.2,37.03089382648468,0.001730558,0.06918563842773437,-0.002646186077299717,0.05503976717591286,0.47407809025608005,0.7988859415054321,4.444444444444445e-06,0.1,0.9117404222488403,710,4.444444444444445e-06
4335,475.79,2206,73,18.634384155273438,9568256,0.2,37.007073163986206,0.0017674754,0.07052688598632813,-0.0028600531819392926,0.055091019719839096,0.49506264545489104,0.9616513252258301,4.444444444444445e-06,0.1,0.9125760793685913,720,4.444444444444445e-06
4394,486.17,2206,74,18.81050682067871,9699328,0.2,36.9815728366375,0.0017422813,0.06919021606445312,-0.00251353252779154,0.05515208840370178,0.5224207769148052,0.8985022306442261,4.444444444444445e-06,0.1,0.9037287831306458,730,4.444444444444445e-06
4454,465.33,2207,75,18.381166458129883,9830400,0.2,36.95447726845741,0.0017753632,0.06944351196289063,-0.0025604955945254916,0.055210813879966736,0.5448818889446556,0.9176101684570312,4.444444444444445e-06,0.1,0.9048477411270142,740,4.444444444444445e-06
4513,502.32,2207,76,19.669218063354492,9961472,0.2,36.92819519340992,0.001674375,0.0659637451171875,-0.002353221924204263,0.05526885390281677,0.5236864595906809,0.811802864074707,4.444444444444445e-06,0.1,0.9047924280166626,750,4.444444444444445e-06
4572,496.77,2207,77,19.22865104675293,10092544,0.2,36.9027227729559,0.0017042867,0.07041854858398437,-0.0026904729669240623,0.055323127657175064,0.5280535668134689,0.8186845779418945,4.444444444444445e-06,0.1,0.901923418045044,760,4.444444444444445e-06
